,a,b,c,d
1/1/1950,36,27,0,67
2/1/1950,58,22,3,31
3/1/1950,61,17,5,67
4/1/1950,37,15,8,47
5/1/1950,66,13,8,62
6/1/1950,55,16,19,60
7/1/1950,60,24,24,53
8/1/1950,54,16,33,71
9/1/1950,49,25,44,63
10/1/1950,65,27,60,46
11/1/1950,55,26,69,25
12/1/1950,45,22,85,42
1/1/1951,31,23,104,62
2/1/1951,37,20,116,47
3/1/1951,66,19,139,49
4/1/1951,50,33,162,72
5/1/1951,53,21,183,48
6/1/1951,65,24,202,66
7/1/1951,55,27,227,44
8/1/1951,68,19,252,48
9/1/1951,47,40,281,49
10/1/1951,44,34,314,27
11/1/1951,55,36,345,53
12/1/1951,35,26,377,74
1/1/1952,53,31,405,47
2/1/1952,66,31,444,29
3/1/1952,52,41,478,29
4/1/1952,34,40,515,63
5/1/1952,34,43,550,39
6/1/1952,70,43,597,60
7/1/1952,34,35,632,48
8/1/1952,62,25,676,36
9/1/1952,53,29,726,50
10/1/1952,35,45,765,67
11/1/1952,53,42,819,23
12/1/1952,68,43,861,37
1/1/1953,30,43,917,63
2/1/1953,42,43,968,50
3/1/1953,61,41,1018,37
4/1/1953,57,42,1075,60
5/1/1953,36,33,1132,51
6/1/1953,59,43,1186,49
7/1/1953,46,48,1244,59
8/1/1953,55,50,1306,56
9/1/1953,53,35,1365,51
10/1/1953,62,41,1430,42
11/1/1953,56,39,1493,29
12/1/1953,42,52,1556,35
1/1/1954,31,44,1628,40
2/1/1954,42,36,1694,46
3/1/1954,48,54,1764,69
4/1/1954,38,42,1840,56
5/1/1954,63,45,1908,37
6/1/1954,62,45,1986,45
7/1/1954,36,44,2061,41
8/1/1954,51,50,2137,57
9/1/1954,44,49,2215,39
10/1/1954,52,56,2292,53
11/1/1954,45,47,2374,61
12/1/1954,55,39,2456,39
1/1/1955,69,45,2543,42
2/1/1955,37,46,2626,69
3/1/1955,47,48,2713,38
4/1/1955,70,41,2802,61
5/1/1955,46,43,2893,42
6/1/1955,66,55,2985,67
7/1/1955,48,50,3073,48
8/1/1955,61,53,3166,49
9/1/1955,56,49,3267,32
10/1/1955,46,47,3359,32
11/1/1955,35,60,3460,43
12/1/1955,39,49,3560,39
1/1/1956,43,49,3661,59
2/1/1956,32,46,3764,70
3/1/1956,61,63,3866,38
4/1/1956,68,57,3974,58
5/1/1956,45,59,4081,30
6/1/1956,61,68,4188,67
7/1/1956,30,50,4297,39
8/1/1956,70,67,4405,61
9/1/1956,44,69,4517,48
10/1/1956,53,61,4633,46
11/1/1956,51,59,4750,29
12/1/1956,43,57,4862,45
1/1/1957,30,63,4984,62
2/1/1957,48,57,5103,60
3/1/1957,65,63,5224,28
4/1/1957,58,55,5347,72
5/1/1957,34,55,5468,63
6/1/1957,65,58,5595,56
7/1/1957,68,69,5720,37
8/1/1957,49,57,5848,27
9/1/1957,37,76,5978,35
10/1/1957,32,74,6108,75
11/1/1957,36,59,6235,41
12/1/1957,69,64,6374,62
1/1/1958,44,72,6505,49
2/1/1958,57,72,6644,57
3/1/1958,43,63,6781,53
4/1/1958,55,61,6920,54
5/1/1958,45,71,7060,53
6/1/1958,46,71,7203,47
7/1/1958,60,62,7347,62
8/1/1958,54,70,7494,54
9/1/1958,68,73,7636,60
10/1/1958,49,63,7783,45
11/1/1958,63,75,7935,39
12/1/1958,45,66,8081,63
1/1/1959,45,76,8239,60
2/1/1959,62,79,8389,52
3/1/1959,60,65,8545,64
4/1/1959,58,84,8699,44
5/1/1959,56,74,8856,53
6/1/1959,41,74,9014,55
7/1/1959,46,70,9178,43
8/1/1959,49,73,9338,58
9/1/1959,41,77,9502,38
10/1/1959,64,70,9667,42
11/1/1959,37,87,9833,62
12/1/1959,38,73,10000,50
